,Title,Year,Genre,Author,Summary,Country,ISBN,Publication
82,kp: the autobiography,2014,"Biography, Autobiography, Sports", David Walsh and Kevin Pietersen,"KP: The Autobiography is the autobiography of England cricketer Kevin Pietersen, ghost written by Irish sports journalist David Walsh. It was scheduled to be released on 9 October 2014",United Kingdom,978-0751557541,Sphere
83,half girlfriend,2014,Romance novel,Chetan Bhagat,"Half Girlfriend is an Indian English coming of age, young adult romance novel by Indian author Chetan Bhagat. The novel, set in rural Bihar, New Delhi, Patna, and New York, is the story of a Bihari boy in quest of winning over the girl he loves.",India,978-81-291-3572-8,Rupa Publications
84,2 states: the story of my marriage,2009,"Fiction, Romance novel",Chetan Bhagat,"2 States: The Story of My Marriage commonly known as 2 States is a 2009 novel written by Chetan Bhagat. It is the story about a couple coming from two different states in India, who face hardships in convincing their parents to approve of their marriage.",India,978-81-291-1530-0,Rupa Publications
85,one indian girl,2016,"Fiction, Romance novel",Chetan Bhagat,"One Indian Girl is the story of Radhika Mehta, a worker at the Distressed Debt group of Goldman Sachs, an investment bank. The book begins with Radhika making arrangements regarding her marriage with Brijesh Gulati who works in the Facebook company in San Francisco. ",India,978-8129142146,Rupa Publications
86,the 3 mistakes of my life,2008,Fiction,Chetan Bhagat,"The 3 Mistakes of My Life is the third novel written by Chetan Bhagat. The book was published in May 2008 and had an initial print-run of 420,000. The novel follows the story of three friends and is based in the city of Ahmadabad in western India.",India,978-81-291-3551-3,Haider Ali
87,revolution 2020,2011,"Fiction, Romance Novel",Chetan Bhagat,"Revolution 2020: Love, Corruption, Ambition is a 2011 novel by Chetan Bhagat. Its story is concerned with a love triangle, corruption and a journey of self-discovery.",India,978-8129135537,Rupa Publications
88,if it's not forever,2012,"Romance novel, Thriller, Suspense, Psychological Fiction, Romantic fantasy",Durjoy Datta and Nikita Singh,The author starts off with memories of the blast day. Deb had survived the bomb attack that left eighty nine people injured and many people dead.[4] He feels sick at home and could not help wipe away the evil memories of the day. ,India,9.79E+12,Grapevine India Publishers
89,you were my crush: till you said you love me!,2011,"Fiction, Romantic fantasy",Durjoy Datta,"Would you change yourself for the love of your life? Benoy zips around in a Bentley, lives alone in a palatial house and is every girl’s dream. To everyone in college he is a stud and a heartbreaker. But is he, really? ..",India,143421557,Penguin India
90,programming pearls,1986,"Programing, Computer Science",Jon Bentley,The essays in this book present programs that go beyond solid engineering techniques to be creative and clever solutions to computer problems. The programs are fun and teach important programming tecniques and fundamental design principles.,USA,201103311,Addison-Wesley
91,clean code,2008,"Programing, Computer Science",Robert Cecil Martin,"Even bad code can function. But if code isn't clean, it can bring a development organization to its knees. Every year, countless hours and significant resources are lost because of poorly written code",USA,132350882,Prentice Hall
92,algorithms + data structures = programs,1976,"Programing, Computer Science",Niklaus Wirth,"Algorithms + Data Structures = Programs is a 1976 book written by Niklaus Wirth covering some of the fundamental topics of computer programming, particularly that algorithms and data structures are inherently related.",USA,978-0-13-022418-7,Prentice-Hall
93,medical medium,2015,"Cookbook, Diet book",Anthony William,"Anthony William, the one and only Medical Medium, has helped tens of thousands of people heal from ailments that have been misdiagnosed or ineffectively treated or that doctors can't resolve. He's done this by listening to a divine voice that literally speaks into his ear, telling him what lies at the root of people's pain or illness and what they need to do to restore their health",United Kingdom,9.78E+12,Hay House UK Limited
94,how not to die,2015,Diet book,Gene Stone and Michael Greger,"From the physician behind the wildly popular website NutritionFacts.org, How Not to Die reveals the groundbreaking scientific evidence behind the only diet that can prevent and reverse many of the causes",USA,1250116937,Pan Macmillan
95,the obesity code: unlocking the secrets of weight loss,2016,Diet book,Jason Fung,"In this highly readable and provocative book, Dr. Jason Fung sets out an original, robust theory of obesity that provides startling insights into proper nutrition.",Canada,1771641266,Greystone Books
96,the diabetes code: prevent and reverse type 2 diabetes naturally,2018,Diet book,Jason Fung,"In 2016, Dr. Jason Fung forever changed the way we think about obesity with his bestselling book, The Obesity Code. Now he's set out to do the same for type 2 diabetes.",Canada,1771642653,Greystone Books
97,the end of diabetes,2012,Diet book,Joel Fuhrman,"The New York Times bestselling author of Eat to Live and Super Immunity and one of the country’s leading experts on preventive medicine offers a scientifically proven, practical program to prevent and reverse diabetes—without drugs",USA,62219995,HarperCollinsPublishers
98,the end of dieting: how to live for life,2014,"Cookbook, Diet book",Joel Fuhrman,"In The End of Dieting, Joel Fuhrman M.D., a board–certified family physician who specializes in preventing and reversing disease through nutritional and natural methods, and #1 New York Times bestselling author of Eat to Live, Super Immunity and The End of Diabetes, delivers a powerful paradigm-shifting book that shows us how and why we never need to diet again.",USA,62249347,HarperCollinsPublishers
99,the end of heart disease,2016,Diet book,Joel Fuhrman,"The New York Times bestselling author of Eat to Live, Super Immunity, The End of Diabetes, and The End of Dieting presents a scientifically proven, practical program to prevent and reverse heart disease, the leading cause of death in America",USA,62249371,HarperCollinsPublishers
